SUBID,AGE,EDUCATION,GENDER,PARENT,POLITICAL,RELIGION,HOW.BIKE,HOW.CLOCK,HOW.COLOR,HOW.COOK,HOW.DEPTH,HOW.DIVIDE,HOW.DRINK,HOW.FACE,HOW.GRAVITY,HOW.HEAR,HOW.HELP,HOW.MORE,HOW.OBJPERM,HOW.READ,HOW.SEE,HOW.TASTE,HOW.TIESHOE,HOW.VIOLIN,HOW.WRITE,WHEN.BIKE,WHEN.CLOCK,WHEN.COLOR,WHEN.COOK,WHEN.DEPTH,WHEN.DIVIDE,WHEN.DRINK,WHEN.FACE,WHEN.GRAVITY,WHEN.HEAR,WHEN.HELP,WHEN.MORE,WHEN.OBJPERM,WHEN.READ,WHEN.SEE,WHEN.TASTE,WHEN.TIESHOE,WHEN.VIOLIN,WHEN.WRITE
1,30,2,Female,Yes,1,1,O,O,O,,,T,,O,O,B,O,O,A,T,,,T,A,O,5,5,3,5,5,6,3,4,3,1,5,4,4,5,1,2,5,5,4
2,40,2,Female,Yes,4,4,T,T,O,T,O,T,,O,O,B,,O,O,T,B,B,T,B,T,5,5,3,5,5,6,1,3,2,1,4,4,2,5,1,2,5,4,4
3,60,1,Male,No,4,5,T,T,T,T,T,T,B,O,T,B,B,B,O,T,B,B,T,T,T,4,4,3,4,3,6,1,2,3,1,3,3,3,5,1,2,3,5,4
4,30,1,Male,No,4,5,O,T,B,O,B,T,B,B,O,B,O,O,O,T,B,B,T,T,T,5,5,1,5,1,6,1,2,2,1,4,3,3,4,1,1,4,5,4
5,40,1,Female,Yes,2,1,T,T,B,T,O,T,B,O,O,B,,,O,T,B,B,T,T,T,5,5,2,5,2,6,1,3,2,1,4,4,2,5,1,2,5,5,4
6,30,2,Male,Yes,3,3,O,,O,,,,,,O,,,,,O,B,,,O,,5,5,5,6,5,6,1,5,3,2,5,5,4,5,2,4,4,5,5
7,30,1,Female,Yes,3,5,T,T,T,T,T,T,B,O,O,B,T,T,O,T,,O,T,T,T,4,5,3,4,3,5,1,2,2,1,3,3,2,4,1,2,3,4,3
8,30,2,Male,No,3,4,O,T,T,T,,T,B,,O,B,T,,,T,B,B,T,T,T,7,5,3,6,6,5,1,4,6,1,6,3,3,5,2,2,5,6,4
9,40,1,Female,Yes,2,1,A,T,B,O,,T,B,B,O,B,O,,,T,B,B,T,T,T,4,5,1,4,2,6,1,1,2,1,4,4,3,5,1,1,5,5,5
10,30,2,Male,Yes,4,5,T,T,T,O,T,T,B,O,O,B,,O,O,T,B,B,T,T,T,5,5,3,5,4,6,1,2,2,1,3,3,2,5,1,1,5,5,4
11,20,2,Female,No,3,1,T,T,B,T,O,T,B,B,O,B,T,O,O,T,B,B,T,T,T,5,5,2,5,3,6,1,3,3,1,5,3,4,4,1,2,5,6,3
12,20,2,Male,No,2,3,T,T,A,T,T,T,B,O,O,A,O,,O,T,A,A,T,T,T,6,5,4,5,4,6,1,3,4,2,5,4,3,6,2,2,5,6,5
13,30,4,Male,Yes,1,2,T,T,T,T,,,B,,O,B,,,,T,B,,T,T,T,5,6,5,5,5,6,1,4,3,1,5,4,4,4,1,4,4,5,4
14,30,2,Male,No,1,1,T,T,T,T,,A,B,,T,B,T,A,,T,,B,T,T,T,5,4,4,5,4,6,1,3,4,2,5,5,4,4,2,4,4,5,4
15,60,2,Female,No,2,1,,T,B,T,O,T,B,O,O,B,O,B,B,O,B,B,T,T,T,4,4,1,5,1,4,1,1,1,1,1,2,1,2,1,1,4,4,4
16,30,3,Male,Yes,3,3,T,O,O,O,,,B,,,B,,A,,,B,,T,O,O,6,4,3,6,3,6,1,3,3,1,4,6,4,3,2,3,3,4,1
17,30,3,Male,Yes,4,3,,,,T,,O,B,,,A,,O,,O,B,B,T,O,O,5,5,4,5,4,6,1,1,3,2,4,6,4,4,1,3,4,5,4
18,30,2,Male,No,2,1,O,,,O,,T,B,,O,,O,,O,O,B,,O,O,T,5,4,2,4,2,6,1,3,4,2,3,4,2,4,1,3,4,6,4
19,20,2,Female,No,4,5,T,T,B,T,O,T,B,O,O,B,O,O,O,T,B,B,T,T,T,5,5,3,5,5,6,1,4,5,1,5,5,4,5,1,3,5,6,5
20,20,1,Male,Yes,2,5,T,T,T,O,O,T,B,O,O,B,,O,O,T,B,O,T,T,T,5,5,4,5,3,6,1,2,3,1,4,2,3,4,1,2,5,5,4
21,60,2,Female,No,2,1,T,T,B,T,,T,B,O,O,B,T,,,T,B,B,T,T,T,5,5,3,5,3,5,1,3,3,1,4,4,3,4,1,2,5,4,4
22,40,2,Female,Yes,2,2,T,T,O,T,A,T,,,O,B,,,,T,B,B,T,T,T,4,5,3,5,2,5,3,4,3,1,4,5,2,5,1,2,4,6,4
23,40,2,Male,No,4,5,T,T,,T,B,T,B,T,,B,O,,O,T,B,B,T,T,T,5,5,2,6,1,6,1,4,3,1,5,4,3,5,1,2,5,5,5
24,20,2,Male,Yes,3,3,O,,,,,T,,,,B,A,,,,B,,O,,O,4,5,3,5,3,5,2,4,2,1,4,5,2,3,1,2,4,5,4
25,20,2,Male,No,3,4,A,O,,,,T,B,,,B,,O,,T,A,B,O,O,T,4,3,3,6,4,6,1,4,3,2,5,3,5,4,3,3,4,6,5
26,60,1,Male,No,5,5,T,T,T,O,O,,B,B,O,B,B,O,O,T,B,B,T,T,T,5,5,3,5,2,5,1,1,2,1,5,3,3,5,1,2,4,5,4
27,30,2,Female,No,5,4,T,T,A,,,T,B,O,O,B,,,O,T,B,B,T,T,T,5,5,2,5,2,6,1,2,3,1,5,4,2,4,1,1,4,5,4
28,20,1,Female,No,3,4,T,T,,O,,T,B,O,O,B,,O,O,T,B,B,T,T,T,5,5,2,5,2,6,1,3,3,1,3,3,2,4,1,1,5,5,4
