When,How,SubID,Condition,Age,Gender,Grade,Category.num,Category
N,T,9,4,5.010958904,F,0,1,Violin
N,T,9,4,5.010958904,F,0,2,See
N,T,9,4,5.010958904,F,0,3,Face
N,T,9,4,5.010958904,F,0,4,Reading
N,T,9,4,5.010958904,F,0,5,Hear
N,T,9,4,5.010958904,F,0,6,Number
N,T,9,4,5.010958904,F,0,7,Spider
N,T,9,4,5.010958904,F,0,8,ObjPerm
N,T,9,4,5.010958904,F,0,9,Bee
N,T,9,4,5.010958904,F,0,10,Helping
Y,B,9,4,5.010958904,F,0,11,Crying
Y,B,9,4,5.010958904,F,0,12,Fish
N,T,9,4,5.010958904,F,0,13,Gravity
Y,B,53,3,5.04,F,pre-k,1,See
N,T,53,3,5.04,F,pre-k,2,Violin
N,T,53,3,5.04,F,pre-k,3,Gravity
Y,B,53,3,5.04,F,pre-k,4,Fish
Y,B,53,3,5.04,F,pre-k,5,Crying
N,T,53,3,5.04,F,pre-k,6,Helping
N,B,53,3,5.04,F,pre-k,7,Bee
N,B,53,3,5.04,F,pre-k,8,ObjPerm
N,O,53,3,5.04,F,pre-k,9,Spider
N,T,53,3,5.04,F,pre-k,10,Number
N,T,53,3,5.04,F,pre-k,11,Hear
N,T,53,3,5.04,F,pre-k,12,Reading
N,T,53,3,5.04,F,pre-k,13,Face
N,T,58,4,5.131506849,M,Pre-K,1,Violin
N,B,58,4,5.131506849,M,Pre-K,2,See
N,O,58,4,5.131506849,M,Pre-K,3,Face
N,B,58,4,5.131506849,M,Pre-K,4,Reading
N,O,58,4,5.131506849,M,Pre-K,5,Hear
N,T,58,4,5.131506849,M,Pre-K,6,Number
N,O,58,4,5.131506849,M,Pre-K,7,Spider
N,O,58,4,5.131506849,M,Pre-K,8,ObjPerm
N,O,58,4,5.131506849,M,Pre-K,9,Bee
N,T,58,4,5.131506849,M,Pre-K,10,Helping
Y,B,58,4,5.131506849,M,Pre-K,11,Crying
Y,O,58,4,5.131506849,M,Pre-K,12,Fish
N,O,58,4,5.131506849,M,Pre-K,13,Gravity
N,T,59,1,5.131506849,M,Pre-K,1,Violin
Y,B,59,1,5.131506849,M,Pre-K,2,See
N,B,59,1,5.131506849,M,Pre-K,3,Gravity
Y,B,59,1,5.131506849,M,Pre-K,4,Fish
Y,B,59,1,5.131506849,M,Pre-K,5,Crying
N,B,59,1,5.131506849,M,Pre-K,6,Helping
Y,B,59,1,5.131506849,M,Pre-K,7,Bee
Y,B,59,1,5.131506849,M,Pre-K,8,ObjPerm
Y,B,59,1,5.131506849,M,Pre-K,9,Spider
Y,B,59,1,5.131506849,M,Pre-K,10,Number
Y,B,59,1,5.131506849,M,Pre-K,11,Hear
Y,B,59,1,5.131506849,M,Pre-K,12,Reading
Y,B,59,1,5.131506849,M,Pre-K,13,Face
N,T,56,2,5.139726027,M,Pre-K,1,See
N,T,56,2,5.139726027,M,Pre-K,2,Violin
N,T,56,2,5.139726027,M,Pre-K,3,Face
N,T,56,2,5.139726027,M,Pre-K,4,Reading
N,O,56,2,5.139726027,M,Pre-K,5,Hear
N,B,56,2,5.139726027,M,Pre-K,6,Number
N,T,56,2,5.139726027,M,Pre-K,7,Spider
N,T,56,2,5.139726027,M,Pre-K,8,ObjPerm
N,T,56,2,5.139726027,M,Pre-K,9,Bee
N,B,56,2,5.139726027,M,Pre-K,10,Helping
Y,B,56,2,5.139726027,M,Pre-K,11,Crying
Y,T,56,2,5.139726027,M,Pre-K,12,Fish
N,O,56,2,5.139726027,M,Pre-K,13,Gravity
Y,B,50,2,5.230136986,F,0,1,See
Y,B,50,2,5.230136986,F,0,2,Violin
Y,B,50,2,5.230136986,F,0,3,Face
Y,T,50,2,5.230136986,F,0,4,Reading
Y,T,50,2,5.230136986,F,0,5,Hear
N,O,50,2,5.230136986,F,0,6,Number
N,T,50,2,5.230136986,F,0,7,Spider
N,B,50,2,5.230136986,F,0,8,ObjPerm
N,B,50,2,5.230136986,F,0,9,Bee
,,50,2,5.230136986,F,0,10,Helping
,,50,2,5.230136986,F,0,11,Crying
,,50,2,5.230136986,F,0,12,Fish
,,50,2,5.230136986,F,0,13,Gravity
Y,B,34,2,5.252054795,F,PreK,1,See
N,B,34,2,5.252054795,F,PreK,2,Violin
N,O,34,2,5.252054795,F,PreK,3,Face
N,T,34,2,5.252054795,F,PreK,4,Reading
N,B,34,2,5.252054795,F,PreK,5,Hear
N,T,34,2,5.252054795,F,PreK,6,Number
N,T,34,2,5.252054795,F,PreK,7,Spider
N,B,34,2,5.252054795,F,PreK,8,ObjPerm
N,B,34,2,5.252054795,F,PreK,9,Bee
N,T,34,2,5.252054795,F,PreK,10,Helping
Y,B,34,2,5.252054795,F,PreK,11,Crying
Y,B,34,2,5.252054795,F,PreK,12,Fish
N,O,34,2,5.252054795,F,PreK,13,Gravity
N,T,13,4,5.282191781,F,Pre-K,1,Violin
Y,B,13,4,5.282191781,F,Pre-K,2,See
Y,B,13,4,5.282191781,F,Pre-K,3,Face
N,T,13,4,5.282191781,F,Pre-K,4,Reading
Y,B,13,4,5.282191781,F,Pre-K,5,Hear
N,T,13,4,5.282191781,F,Pre-K,6,Number
Y,B,13,4,5.282191781,F,Pre-K,7,Spider
N,T,13,4,5.282191781,F,Pre-K,8,ObjPerm
N,B,13,4,5.282191781,F,Pre-K,9,Bee
N,T,13,4,5.282191781,F,Pre-K,10,Helping
Y,B,13,4,5.282191781,F,Pre-K,11,Crying
Y,B,13,4,5.282191781,F,Pre-K,12,Fish
N,T,13,4,5.282191781,F,Pre-K,13,Gravity
N,T,39,3,5.424657534,M,PreK,1,Violin
Y,B,39,3,5.424657534,M,PreK,2,See
N,T,39,3,5.424657534,M,PreK,3,Gravity
