subID,Education,Age,Gender,parent,when.shoe.y,when.shoe.m,how.shoe,when.drink.y,when.drink.m,how.drink,when.color.y,when.color.m,how.color,when.hear.y,when.hear.m,how.hear,when.objperm.y,when.objperm.m,how.objperm,when.face.y,when.face.m,how.face,when.number.y,when.number.m,how.number,when.see.y,when.see.m,how.see,when.gravity.y,when.gravity.m,how.gravity,when.read.y,when.read.m,how.read,when.help.y,when.help.m,how.help,when.depth.y,when.depth.m,how.depth
1,4,40,Female,Y,5,0,59,0,0,0.1,0,0,1.8,0,0,0.4,0,2,9.3,0,0,1,0,0.1,1.4,0,0,1,0,1,1.5,5,0,81.1,0,6,18,0,0.5,1.3
2,1,30,Female,Y,5,0,100,0,0,0,3,0,92,0,0,0,0,6,32.8,0,1,0,2,0,81.4,0,0,0,0,2,0,5,0,100,0,6,0,0,2,0
3,1,20,Female,N,5,0,100,0,0,0,1,0,0,0,0,0,0,6,50.3,0,2,0,4,0,44.8,0,0,0,5,0,100,5,0,100,0,6,20.6,1,0,15.8
4,2,40,Female,Y,4,0,100,0,0,0,0,6,50,0,0,0,8,0,78.2,0,7,100,3,0,50.6,0,0,0,0,6,100,5,0,72.5,1,0,100,0,8,23.4
5,1,20,Female,Y,6,6,81,0,0,77.3,2,6,53.9,0,0,1,5,1,83.4,3,5,26.9,4,0,54.8,0,1,3,8,0,89.7,7,1,61.1,7,0,55.8,4,5,88
6,3,30,Male,N,4,3,75,0,3,50,3,9,91.3,0,3,14.9,3,6,62.5,4,2,63.4,4,0,76.8,0,1,1,2,8,81.4,4,0,81.7,4,1,51.1,2,2,50
7,3,30,Female,N,6,0,100,0,0,4.9,0,11,0.1,0,0,0.1,3,0,70.7,0,0,0.1,4,0,91.4,0,0,0.1,2,0,100,5,0,100,5,0,50.1,1,8,50.7
8,2,20,Male,N,4,0,100,0,0,0,0,6,10,0,0,0,0,8,80.1,0,3,31.1,3,0,81.4,0,0,0,0,6,69.7,6,0,100,0,6,90.7,0,4,33.9
9,2,30,Male,N,5,0,100,0,0,0,2,0,100,0,6,100,2,0,100,1,0,100,2,0,100,0,1,0,2,0,100,5,0,100,5,0,100,2,0,100
10,1,40,Male,N,4,0,10,0,12,1.7,6,0,100,,12,3.1,3,0,3.9,3,0,4.9,6,0,6.3,0,6,3.9,5,0,5.1,4,0,4.8,10,0,3.8,4,0,3.4
11,2,40,Female,Y,5,0,100,0,0,0,4,0,100,0,0,0,1,0,50,,4,50,3,0,90.1,0,0,0,0,6,20,6,0,100,5,0,90.3,1,0,50
12,3,40,Male,Y,7,12,28,1,10,8.7,5,1,44.1,2,10,52,9,10,40.4,1,10,62.5,13,10,42,1,1,63,9,10,50.3,9,10,55.5,10,1,53,5,1,54.6
13,1,40,Female,N,3,0,95,0,0,0,0,1,63.7,0,0,0,2,6,95.6,0,2,44.9,2,0,67.6,0,0,0,4,0,88.5,3,2,93.4,3,0,64.4,0,8,86.2
14,3,40,Male,N,3,6,100,0,1,0,0,0,0,0,0,0,3,6,95.4,0,0,2.3,2,0,61.7,0,0,0,4,0,98.1,4,0,84.1,5,0,100,0,0,0
15,2,30,Female,Y,6,0,50,,1,1,2,0,61.1,0,1,7.7,1,0,61.3,0,9,59.3,9,0,87,0,4,8.5,4,0,68.6,6,0,84.4,2,0,48.3,0,10,62.7
