Group,SubID,RawAge,Age,Gender,Education,Condition,YoungerSibling,Parent,when.neat,when.punctual,when.active,when.attentive,when.easy,when.fearful,when.smiley,when.taste.smell,when.hear,when.eyes,when.easy.eat,when.fear.taste,when.math,when.spelling,how.neat,how.punctual,how.active,how.attentive,how.easy,how.fearful,how.smiley,how.taste.smell,how.hear,how.eyes,how.easy.eat,how.fear.taste,how.math,how.spelling
Mturk.temp,1,,20,Male,2,1,,No,4,6,2,2,2,3,2,2,2,2,,,,,O,O,B,B,B,B,,O,B,B,,,,
Mturk.temp,2,,30,Female,1,1,,Yes,3,5,1,3,1,2,2,2,1,1,,,,,T,T,B,B,B,,B,,B,B,,,,
Mturk.temp,3,,20,Male,2,1,,No,3,5,1,2,4,4,2,2,1,1,,,,,T,T,B,B,T,B,B,B,B,B,,,,
Mturk.temp,4,,30,Female,2,1,,No,4,6,1,3,1,3,1,2,2,2,,,,,T,O,B,B,O,B,B,B,B,B,,,,
Mturk.temp,5,,40,Female,1,1,,Yes,4,5,2,2,2,2,3,1,1,1,,,,,T,T,B,B,T,B,O,B,B,B,,,,
Mturk.temp,6,,20,Male,1,1,,No,4,4,4,1,1,1,1,1,1,1,,,,,T,T,T,B,B,B,B,B,B,B,,,,
Mturk.temp,7,,60,Female,2,1,,No,5,4,2,5,6,6,2,2,3,1,,,,,O,T,T,O,T,O,O,B,B,B,,,,
Mturk.temp,8,,20,Male,2,1,,No,5,6,2,5,1,6,2,1,2,1,,,,,,,,,B,,,B,B,B,,,,
Mturk.temp,9,,30,Male,2,1,,Yes,5,6,1,7,7,6,3,2,2,1,,,,,T,T,B,O,O,O,,,B,B,,,,
Mturk.temp,10,,30,Male,2,1,,No,4,5,3,6,4,5,3,2,2,1,,,,,T,T,B,O,T,,B,B,B,B,,,,
Mturk.temp,11,,30,Female,1,1,,Yes,4,6,3,3,2,3,2,2,1,1,,,,,T,T,B,T,B,,B,B,B,B,,,,
